Link,Timestamp,Credit,Duration,Category,Likes,Comments,Order,Notes,Commentary
,,,0:00:03,,,,,,These are the most exhilarating moments on camera.
https://vm.tiktok.com/TTPdSX6jJM/,full,clipassassin,0:00:07,satisfying,,,1,,"And just like that, the snow was gone in under 3 seconds."
https://www.instagram.com/reel/CZnAXF8JdEb/?utm_medium=copy_link,full,heaven,0:00:06,view,,,2,mute,"Where they're going, they don't need roads."
https://www.instagram.com/reel/CZUvT4LlBBF/?utm_medium=copy_link,full,urdailypets,0:00:07,animals,,,3,crop,This husky got their nose stuck for attention.
https://vm.tiktok.com/TTPdSXFMfT/,full,liftwithbri,0:00:09,talent,,,4,mute,How to get head turners at the bar. Caught that one guy in 4K.
https://vm.tiktok.com/TTPdSXD7k7/,full,activesufi,0:00:08,dance,,,5,mute,This was a clean edit!
https://vm.tiktok.com/TTPdSX68uw/,full,letsdrillit,0:00:07,experiment,,,6,mute,Will Jolly Ranchers friction weld? Let's find out.
https://www.instagram.com/reel/CZwmjhmrFZe/?utm_medium=copy_link,full,americanmusclehd,0:00:09,funny,,,7,,Is he doing this right?
https://www.instagram.com/reel/CZnBBWGB_1y/?utm_medium=copy_link,full,meganoffroad,0:00:05,gadgets,,,8,,That has to be the coolest quad bike I've ever seen!
https://www.instagram.com/reel/CZ2m4yXA2_G/?utm_medium=copy_link,full,adeljad,0:00:08,fails,,,9,mute,This double prank went perfectly!
https://vm.tiktok.com/TTPdSXLUFB/,full,fearsupply,0:00:07,animals,,,10,mute,"Their professor let them bring their kitten to class. No work was done, but friends were made."
https://www.instagram.com/reel/CZ3qEkTJ8eL/?utm_medium=copy_link,full,foodies_of_hyd,0:00:04,funny,,,11,mute,When the sign says take one.
https://vm.tiktok.com/TTPdSXjxgW/,full,codylg14,0:00:08,satisfying,,,12,,The beauty of laminar flow.
https://vm.tiktok.com/TTPdSX2sgQ/,full,devdrives,0:00:13,gadgets,,,13,cursing,Which Decepticon transformer is this?
https://vm.tiktok.com/TTPdSXB2da/,full,espn,0:00:11,stunts,,,14,mute,Doing flips and tricks on Oobleck.
https://vm.tiktok.com/TTPdSX5Bk1/,full,jacobwitzling,0:00:13,gadgets,,,15,,This person made their own six-splitter axe.
https://vm.tiktok.com/TTPdSXHYY5/,full,rulaibraheem,0:00:23,wholesome,,,16,,Her little sister is too honest!
https://vm.tiktok.com/TTPdSXuLgP/,full,babymoooossee,0:00:20,animals,,,17,,This dog just wanted to help with the dishes!
https://vm.tiktok.com/TTPdSX2sSb/,full,gundogdu12,0:00:26,satisfying,,,18,mute,That's one way to wash the stairs.
https://vm.tiktok.com/TTPdSXrB7w/,full,chrispoopypants,0:00:14,gadgets,,,19,,Check out this beverage canning process.
https://vm.tiktok.com/TTPdSXLsD3/,full,forza.guru,0:00:09,cars,,,20,,What looks like a real Lamborghini drive by is actually shot in Forza Horizon 5.
https://vm.tiktok.com/TTPdSX5ykj/,0:00-0:08,liteboxer,0:00:08,gadgets,,,21,,This boxing machine is for the rhythm gamers.
https://vm.tiktok.com/TTPdSXHag2/,full,fruit.hd,0:00:08,food,,,22,,What fruit is this?
https://vm.tiktok.com/TTPdSX2mEN/,full,liquorneverfails,0:00:09,fails,,,23,mute,He gave the camera that look of disappointment.
https://www.instagram.com/reel/CZ7PszEgE-T/?utm_medium=copy_link,full,kilianbron,0:00:10,stunts,,,24,mute,Mountain biking through a ghost village in Spain.
https://www.instagram.com/reel/CZxQxcFAabm/?utm_medium=copy_link,full,gorillatechx,0:00:06,tech,,,25,mute,"He's operating remotely in Nevada, while the excavator is in Arizona."
https://vm.tiktok.com/TTPdSXmsUA/,full,oddlysatisfying,0:00:15,satisfying,,,26,,Do you think this is satisfying? Comment how you feel about this below.
,,,0:00:03,,,,,,Like and subscribe right now and you'll have good luck for the next 27 days.
https://vm.tiktok.com/TTPdSXFMX3/,full,swordsman_11,0:00:14,talent,,,27,mute,This person is the next Scorpion from Mortal Kombat.
https://vm.tiktok.com/TTPdSX5fUv/,full,guicapivara_,0:00:15,art,,,28,mute,Melting crayons for this umbrella artwork.
https://vm.tiktok.com/TTPdSXFArj/,full,pooochiegirl,0:00:15,funny,,,29,mute,This Karen trespassed and has the audacity to record her own felony. Charges were pressed on her.
https://vm.tiktok.com/TTPdSXPxfD/,full,emilynharvey,0:00:15,animals,,,30,mute,"She doesn't care what some groundhog says, when her horse starts doing this then spring is here."
https://www.instagram.com/reel/CaOfZVWgd2M/?utm_medium=copy_link,full,hilarrious,0:00:04,funny,,,31,crop,"Their neighbors upstairs kept stomping, so they gave them payback."
https://www.instagram.com/reel/CZXnPbfri3C/?utm_medium=copy_link,full,hotfreestyle,0:00:05,food,,,32,mute,Check out this massive burger!
https://vm.tiktok.com/TTPdSXA3Pe/,full,thejikipen,0:00:11,gadgets,,,33,mute,This pen will save you from boring days in class. Check it out!
https://vm.tiktok.com/TTPdSX5ApQ/,full,urfavsophiiiaa,0:00:12,wholesome,,,34,mute,She got to meet Tom Holland on a plane!
https://vm.tiktok.com/TTPdSXYxDL/,full,krystalsueee,0:00:16,funny,,,35,mute,Always chase your dreams.
https://vm.tiktok.com/TTPdSXBdX1/,full,sluggerrr,0:00:18,satisfying,,,36,,The Kansas City Royals mascot throws heart shaped ice off the ledge.
https://www.instagram.com/reel/CZaDMvgFtiY/?utm_medium=copy_link,full,anthonybertoncin,0:00:11,animals,,,37,,Ever seen a bird's ear canal?
https://vm.tiktok.com/TTPdSX6bVr/,full,seaderbennett,0:00:27,random,,,38,,Just a normal drive thru situation.
https://vm.tiktok.com/TTPdSXutHo/,full,thekingofdietofficial,0:00:07,random,,,39,mute,This body builder eats 90 eggs per day.
https://vm.tiktok.com/TTPdSXAY2K/,full,winnereverytime,0:00:11,talent,,,40,mute,He teaches carnival players how to win every time.
https://vm.tiktok.com/TTPdSXMPQJ/,full,houseofhighlights,0:00:14,random,,,41,,"Anyone else run in the hotel hallways, or is it just me?"
https://vm.tiktok.com/TTPdSXhx5B/,full,soniuhh_,0:00:10,view,,,42,mute,"Come to think of it, this trend is like 720p versus 4k."
https://www.instagram.com/reel/CaILyiBAQTw/?utm_medium=copy_link,full,kitesurfingofficial,0:00:05,stunts,,,43,mute,The wind took this kite surfer flying fast!
https://www.instagram.com/reel/CZ7I3emlyFv/?utm_medium=copy_link,full,catofied,0:00:07,animals,,,44,crop,"This cat licks his owner, but hates getting licked back."
https://www.instagram.com/reel/CZ3t0R6IBAs/?utm_medium=copy_link,full,madhattersmemeparty,0:00:13,random,,,45,,He's got a point.
https://www.instagram.com/reel/CZmoqvvh9MW/?utm_medium=copy_link,full,havenreels,0:00:11,magic,,,46,mute,Here's the magician's perspective of this foam ball trick.
https://www.instagram.com/reel/CaAJhb8q8oe/?utm_medium=copy_link,full,doggosreels,0:00:12,animals,,,47,crop,"DoorDash? Nah, DogDash."
https://www.instagram.com/reel/CZ1eKtlFt0g/?utm_medium=copy_link,full,jokezar,0:00:08,funny,,,48,mute,The reporter was too stunned to speak.
https://www.instagram.com/reel/CZmmG7bJSto/?utm_medium=copy_link,full,theluxurious_car,0:00:05,random,,,49,mute,Welcome back to random acts caught on tape.
https://vm.tiktok.com/TTPdSX69x5/,0:00-0:19,jakeceja,0:00:19,fashion,,,50,mute,"They found this guy with a Bane mask at the mall, and they collaborated to make a hype video."
https://vm.tiktok.com/TTPdSXse6P/,full,aleieed,0:00:16,satisfying,,,51,mute,"Glass is made of sand, so lets make sand out of glass."
https://vm.tiktok.com/TTPdSXb7mF/,full,chrissstttiiine,0:00:27,workers,,,52,,The cat and delivery guy got along pretty well.
https://www.instagram.com/reel/CZpDZSjDRBK/?utm_medium=copy_link,full,stonksdog,0:00:16,animals,,,53,,Wait for the dog's reaction at the end!
https://vm.tiktok.com/TTPdSXPXEA/,full,daily.life97,0:00:16,food,,,54,mute,This is the smoothest egg yolk dish I've ever seen.
https://www.instagram.com/reel/CZc3c0bFBQI/?utm_medium=copy_link,full,_memelif3,0:00:14,animals,,,55,"mute, crop",Survival of the fittest.
https://www.instagram.com/reel/CaAqPQ5D6uo/?utm_medium=copy_link,full,italian_car_wash,0:00:03,cars,,,56,,They made a mini Shelby. Send this to Hasbulla!
https://www.instagram.com/reel/CZ2-lsmpVjv/?utm_medium=copy_link,full,traviszip,0:00:07,filters,,,57,mute,Do you think he looks like his celebrity twin? Comment your thoughts.
https://www.instagram.com/reel/CZ19AxYjVWI/?utm_medium=copy_link,full,lux.worlld,0:00:06,animals,,,58,mute,This panda's clumsiness is so adorable.
https://www.instagram.com/reel/CZpFM2gl_mq/?utm_medium=copy_link,full,javier_concepcion25,0:00:06,transition,,,59,mute,"Well, at least she doesn't have rona."
https://www.instagram.com/reel/CZmz4BfA9oN/?utm_medium=copy_link,full,yournaturegram__0,0:00:05,fails,,,60,mute,Always watch your step and your surroundings.
https://vm.tiktok.com/TTPdSX6N8a/,full,nikkiibabyyy,0:00:17,gadgets,,,61,mute,These hair curler devices are colourful and convenient!
https://vm.tiktok.com/TTPdSXrHSm/,full,early,0:00:22,art,,,62,mute,This artist has to be inspired by Bob Ross!
https://vm.tiktok.com/TTPdSXYS3c/,full,juliesaraceno2,0:00:26,animals,,,63,mute,Someone please adopt Rooster!
https://vm.tiktok.com/TTPdSXKufD/,full,moneyluvsme2,0:00:26,satisfying,,,64,mute,Check out this money counting machine.
https://vm.tiktok.com/TTPdSXk9sH/,full,wflood.com,0:00:23,workers,,,65,crop,They use flood barriers to slow the rushing water from skipping the drains.
https://vm.tiktok.com/TTPdSXkcMf/,full,uwu_ghxst,0:00:16,fashion,,,66,mute,Darkwear is a neat fashion style.
https://www.instagram.com/reel/CZ2IxhGFKk9/?utm_medium=copy_link,full,lilouruel,0:00:05,fails,,,67,mute,Flipping and flopping on the shore.
https://www.instagram.com/reel/CaPlz1MKKQf/?utm_medium=copy_link,full,cutecatfeed,0:00:15,animals,,,68,mute,What could happen if your cat eats protein powder. Do not actually feed your pets protein powder.
https://www.instagram.com/reel/CaDw7ntN7XW/?utm_medium=copy_link,full,alwayslookinward,0:00:08,stunts,,,69,,There's always a bigger fish.
https://www.instagram.com/reel/CZ18xlTjfL0/?utm_medium=copy_link,full,lux.worlld,0:00:07,animals,,,70,mute,This panda is such a mood.
https://vm.tiktok.com/TTPdSX6GYM/,full,mpr_official.uk,0:00:27,workers,,,71,crop,This Ukranian soldier shows the patches he took from Russian soldiers.
https://vm.tiktok.com/TTPdSXWWdc/,full,ericthesolarpro,0:00:29,gadgets,,,72,,The perfect chair for those who wait in lines.
https://vm.tiktok.com/TTPdSXQP2x/,full,barbiekilldken,0:00:12,animals,,,73,mute,He thought Bolt ran out of the TV.
https://vm.tiktok.com/TTPdSXNAQ1/,full,hasbulla,0:00:38,funny,,,74,,Hasbulla is ready to throw hands!
https://www.youtube.com/watch?v=hQFoteOQMu0&t=351s,5:51-6:00 // 6:35-6:45,Top5Dude,0:00:19,relevant,,,75,,"This dude hasn't washed his hair in the longest time, it looks so weird."
,,,0:00:04,,,,,,Click one of the videos on the screen right now!